stock,listed_date,delisted_date
1,1991-04-03,
2,1991-01-29,
3,1991-07-03,2002-06-14
4,1991-01-14,
5,1990-12-10,
6,1992-04-27,
7,1992-04-13,
8,1992-05-07,
9,1991-06-25,
10,1995-10-27,
11,1992-03-30,
12,1992-02-28,
13,1992-05-06,2004-09-20
14,1992-06-02,
15,1992-06-25,2001-10-25
16,1992-03-27,
17,1992-03-31,
18,1992-06-16,2020-01-07
19,1992-10-12,
20,1992-04-28,
21,1994-02-02,
22,1993-05-05,2018-12-25
23,1993-04-29,
24,1993-06-07,2015-12-30
25,1993-06-21,
26,1993-06-03,
27,1993-09-03,
28,1993-08-09,
29,1993-09-15,
30,1993-09-29,
31,1993-10-08,
32,1993-10-28,
33,1994-01-03,2017-07-07
34,1994-05-09,
35,1994-04-08,
36,1994-06-17,
37,1994-07-01,
38,1994-08-08,
39,1994-04-08,
40,1994-08-08,
42,1994-09-21,
43,1994-09-28,2019-12-13
45,1994-08-15,
46,1994-09-12,
47,1994-10-21,2003-05-30
48,1994-11-01,
49,1995-03-20,
50,1995-03-15,
55,1996-04-15,
56,1996-07-08,
58,1996-12-26,
59,1997-01-30,
60,1997-01-23,
61,1997-01-10,
62,1997-01-30,
63,1997-11-18,
65,1998-06-05,
66,1997-06-26,
68,1997-06-11,
69,1997-09-10,
70,2000-05-11,
78,1998-12-18,
88,1997-07-28,
89,1998-04-20,
90,1999-07-21,
96,2000-07-24,
99,2000-07-31,
100,2004-01-30,
150,2000-08-07,
151,2000-09-06,
153,2000-09-20,
155,2000-09-26,
156,2000-09-06,
157,2000-10-12,
158,2000-07-24,
159,2000-09-26,
166,2015-01-26,
301,2000-05-29,
333,2013-09-18,
338,2007-04-30,
400,1997-04-18,
401,1996-06-14,
402,1996-06-26,
403,1996-06-28,
404,1996-06-19,
405,1996-06-20,2004-03-19
406,1996-06-28,2006-04-21
407,1996-07-03,
408,1996-06-28,
409,1996-06-27,
410,1996-07-18,
411,1996-07-16,
412,1996-07-15,2003-09-19
413,1996-09-25,
415,1996-07-16,
416,1996-07-19,
417,1996-08-12,
418,1997-03-28,2019-06-21
419,1996-08-16,
420,1996-08-02,
421,1996-08-06,
422,1996-08-15,
423,1996-07-29,
425,1996-08-28,
426,1996-08-28,
428,1996-08-08,
429,1998-02-20,
430,1996-08-29,
488,2000-11-20,
498,1997-06-09,
501,1992-11-20,
502,1992-11-23,2022-06-27
503,1992-11-30,
504,1992-12-08,
505,1992-12-21,
506,1993-03-12,
507,1993-03-26,
508,1993-04-30,1999-07-12
509,1993-05-07,
510,1993-05-07,
511,1993-05-18,2018-07-18
513,1993-10-28,
514,1993-07-12,
515,1993-07-12,2009-05-06
516,1993-08-09,
